,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
60,311,Customer#000000311,dvpNARle3mR19GD4s2gpEbkL2mZV3uvV6P,23,33-919-292-8822,6589.50,AUTOMOBILE,essly even escapades. blithely regular Tiresias cajole blithely furiously close packages. furiously ironic pi,10144,311,F,235400.84,1995-01-03,1-URGENT,Clerk#000000751,0,ironic accounts cajole blithely around the blithe deposits. ir,10144,1417,18,1,17.00,22412.97,0.06,0.08,A,F,1995-04-05,1995-03-21,1995-04-26,TAKE BACK RETURN,AIR,s. furiously even deposits acros
61,311,Customer#000000311,dvpNARle3mR19GD4s2gpEbkL2mZV3uvV6P,23,33-919-292-8822,6589.50,AUTOMOBILE,essly even escapades. blithely regular Tiresias cajole blithely furiously close packages. furiously ironic pi,10144,311,F,235400.84,1995-01-03,1-URGENT,Clerk#000000751,0,ironic accounts cajole blithely around the blithe deposits. ir,10144,1289,90,2,19.00,22615.32,0.07,0.05,A,F,1995-03-30,1995-02-21,1995-04-12,DELIVER IN PERSON,FOB,s serve blithely permanent package
62,331,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",5,15-411-430-7917,170.27,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu,18023,331,F,60757.15,1995-02-25,3-MEDIUM,Clerk#000000895,0, warthogs among the carefully bold re,18023,1759,44,1,2.00,3321.50,0.01,0.01,R,F,1995-03-15,1995-04-16,1995-03-21,NONE,FOB,ular asymptote
63,331,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",5,15-411-430-7917,170.27,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu,18023,331,F,60757.15,1995-02-25,3-MEDIUM,Clerk#000000895,0, warthogs among the carefully bold re,18023,1287,88,2,42.00,49907.76,0.09,0.08,A,F,1995-03-15,1995-04-09,1995-03-16,NONE,RAIL,s detect. ironically even requ
64,331,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",5,15-411-430-7917,170.27,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu,18023,331,F,60757.15,1995-02-25,3-MEDIUM,Clerk#000000895,0, warthogs among the carefully bold re,18023,1129,38,3,4.00,4120.48,0.04,0.08,R,F,1995-03-20,1995-04-22,1995-03-22,COLLECT COD,FOB,gular requests. sp
65,331,Customer#000000331,"Ug e2IBbl,LJuqjNz5XeQV",5,15-411-430-7917,170.27,AUTOMOBILE,r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu,18023,331,F,60757.15,1995-02-25,3-MEDIUM,Clerk#000000895,0, warthogs among the carefully bold re,18023,1167,4,4,4.00,4272.64,0.10,0.07,A,F,1995-04-22,1995-05-05,1995-05-06,COLLECT COD,RAIL,"s. final, bold t"
66,362,Customer#000000362,UscV00TNrNTDddxF7BTk,17,27-651-653-4122,6149.01,AUTOMOBILE,ut the fluffily ironic platelets. ironi,12832,362,F,66392.28,1994-12-11,3-MEDIUM,Clerk#000000566,0,unts are after the regular packages. furiously pending,12832,1428,29,1,49.00,65141.58,0.02,0.04,A,F,1995-03-13,1995-03-04,1995-03-18,NONE,RAIL,ag. carefully final
67,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,721,86,1,4.00,6486.88,0.04,0.03,A,F,1995-05-14,1995-03-15,1995-05-19,NONE,RAIL,cial accounts. 
68,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,654,55,2,47.00,73068.55,0.10,0.06,A,F,1995-04-28,1995-04-01,1995-05-01,DELIVER IN PERSON,SHIP,rash furiously; ironi
69,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,554,85,4,43.00,62545.65,0.00,0.03,R,F,1995-04-14,1995-03-07,1995-04-23,DELIVER IN PERSON,FOB,s. carefully ironic court
70,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,972,41,5,25.00,46824.25,0.04,0.02,R,F,1995-05-23,1995-04-28,1995-05-31,TAKE BACK RETURN,REG AIR,regularly regular asymptotes 
71,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,725,22,6,12.00,19508.64,0.05,0.07,R,F,1995-04-29,1995-03-17,1995-05-16,COLLECT COD,REG AIR,ntegrate s
72,371,Customer#000000371,dnxjCYwhuSHx 9KX38nV0R16fG,22,32-119-346-2028,7789.14,AUTOMOBILE,"equests shall boost furiously special pinto beans. express, ironic ideas sleep across the ironi",24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ggle carefully from the carefully pen,24960,600,31,7,50.00,75030.00,0.07,0.05,A,F,1995-05-13,1995-04-28,1995-05-26,NONE,SHIP,lithely bold ideas. car
73,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,1729,72,1,11.00,17937.92,0.07,0.05,N,O,1995-06-25,1995-05-23,1995-07-10,TAKE BACK RETURN,RAIL,egular requests along the 
74,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,1282,57,2,9.00,10649.52,0.08,0.05,A,F,1995-04-23,1995-04-18,1995-04-26,NONE,REG AIR,uses cajole blithely pla
75,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,1989,78,3,31.00,58620.38,0.00,0.05,N,F,1995-06-11,1995-05-20,1995-06-27,COLLECT COD,REG AIR,s. foxes sleep slyly unusual grouc
76,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,1304,81,4,7.00,8437.10,0.07,0.06,A,F,1995-03-31,1995-04-05,1995-04-11,NONE,TRUCK,he slyly ironic packages
77,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,1824,68,5,14.00,24161.48,0.02,0.00,N,F,1995-06-11,1995-05-19,1995-07-11,DELIVER IN PERSON,SHIP,press instruc
78,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,3749,376,P,134685.89,1995-02-24,3-MEDIUM,Clerk#000000639,0,y regular instructions haggle blithel,3749,538,29,6,10.00,14385.30,0.10,0.03,N,O,1995-06-24,1995-05-24,1995-07-18,COLLECT COD,SHIP,essly. regular pi
79,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,54882,376,F,84986.36,1995-02-07,1-URGENT,Clerk#000000226,0,ly final packages haggle furiously. carefully ironic requests are. p,54882,9,10,1,41.00,37269.00,0.00,0.06,R,F,1995-05-23,1995-03-09,1995-05-30,COLLECT COD,REG AIR,cross the 
80,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,54882,376,F,84986.36,1995-02-07,1-URGENT,Clerk#000000226,0,ly final packages haggle furiously. carefully ironic requests are. p,54882,1457,75,2,6.00,8150.70,0.10,0.07,A,F,1995-05-23,1995-04-09,1995-06-10,TAKE BACK RETURN,FOB,ions. requests sleep bravely am
81,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,54882,376,F,84986.36,1995-02-07,1-URGENT,Clerk#000000226,0,ly final packages haggle furiously. carefully ironic requests are. p,54882,1841,28,3,17.00,29628.28,0.07,0.03,R,F,1995-04-26,1995-03-29,1995-05-15,DELIVER IN PERSON,TRUCK,telets sublate
82,376,Customer#000000376,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,16,26-437-952-8986,4231.45,AUTOMOBILE,gs cajole quickly. bold asymptotes wake regularly along the quickly ,54882,376,F,84986.36,1995-02-07,1-URGENT,Clerk#000000226,0,ly final packages haggle furiously. carefully ironic requests are. p,54882,1034,5,4,10.00,9350.30,0.03,0.02,A,F,1995-04-04,1995-04-13,1995-04-20,DELIVER IN PERSON,FOB, ironic reque
83,379,Customer#000000379,"t3QzCf,q1NbshmjOIUY",7,17-228-550-9246,5348.11,AUTOMOBILE,"l deposits cajole blithely blithely final deposits. express, even foxes grow carefully about the sile",11206,379,F,209373.08,1994-12-29,5-LOW,Clerk#000000139,0,ending packages cajole busily. slyly ,11206,1768,53,1,33.00,55102.08,0.04,0.01,R,F,1995-04-20,1995-03-28,1995-05-11,TAKE BACK RETURN,REG AIR," accounts use slyly final, even pin"
84,379,Customer#000000379,"t3QzCf,q1NbshmjOIUY",7,17-228-550-9246,5348.11,AUTOMOBILE,"l deposits cajole blithely blithely final deposits. express, even foxes grow carefully about the sile",11206,379,F,209373.08,1994-12-29,5-LOW,Clerk#000000139,0,ending packages cajole busily. slyly ,11206,1266,78,3,23.00,26846.98,0.03,0.05,A,F,1995-04-02,1995-01-29,1995-04-17,NONE,TRUCK,dolites-- carefully un
85,379,Customer#000000379,"t3QzCf,q1NbshmjOIUY",7,17-228-550-9246,5348.11,AUTOMOBILE,"l deposits cajole blithely blithely final deposits. express, even foxes grow carefully about the sile",27105,379,F,110309.78,1995-02-17,4-NOT SPECIFIED,Clerk#000000644,0, alongside of the s,27105,1410,89,2,16.00,20982.56,0.06,0.05,R,F,1995-04-11,1995-04-12,1995-04-23,COLLECT COD,TRUCK,cording to
86,389,Customer#000000389,"ij8KNM0,HRvIvnvY w8jQK4zvr1EOO9YM",9,19-264-943-1253,-307.61,AUTOMOBILE,o beans affix fluffily. slyly ironic notornis wake ,21350,389,F,27250.86,1995-02-25,3-MEDIUM,Clerk#000000247,0,ickly according to the final accounts? alw,21350,1509,10,1,21.00,29620.50,0.08,0.00,R,F,1995-03-31,1995-04-06,1995-04-17,TAKE BACK RETURN,REG AIR,uches cajole e
87,461,Customer#000000461,5vxNLzSASzkbrUr8CRf5,21,31-533-226-4307,9177.63,AUTOMOBILE,sits breach blithely. slyly regular ideas haggle fluffily; special ideas cajole q,53382,461,F,116088.95,1994-12-28,4-NOT SPECIFIED,Clerk#000000313,0,thely special asymptotes. accounts according to the ironic hockey players det,53382,1372,73,2,38.00,48388.06,0.04,0.01,A,F,1995-04-04,1995-03-12,1995-04-07,COLLECT COD,RAIL,blithely amon
88,461,Customer#000000461,5vxNLzSASzkbrUr8CRf5,21,31-533-226-4307,9177.63,AUTOMOBILE,sits breach blithely. slyly regular ideas haggle fluffily; special ideas cajole q,53382,461,F,116088.95,1994-12-28,4-NOT SPECIFIED,Clerk#000000313,0,thely special asymptotes. accounts according to the ironic hockey players det,53382,734,99,3,33.00,53946.09,0.07,0.08,A,F,1995-04-16,1995-02-27,1995-04-23,NONE,AIR,y special instructions be
89,479,Customer#000000479,RdIiG8NbwYtamReRwhR,18,28-336-406-1631,3653.64,AUTOMOBILE,ages. bravely even foxes detect careful,24709,479,F,14623.67,1995-01-16,2-HIGH,Clerk#000000935,0,g to the carefully special instructions. quickly final acco,24709,1057,63,1,16.00,15328.80,0.10,0.06,R,F,1995-05-01,1995-03-22,1995-05-26,NONE,RAIL,y regular deposits boost careful
90,487,Customer#000000487,"oTc,l9dAf8O0qOOMP4P0WFTuGS",2,12-111-401-4259,9749.37,AUTOMOBILE,as. excuses use carefully carefully pending i,6017,487,F,144069.95,1995-01-31,1-URGENT,Clerk#000000714,0,"lly unusual accounts wake final, regul",6017,1986,87,1,13.00,24543.74,0.10,0.08,R,F,1995-03-19,1995-03-05,1995-04-04,COLLECT COD,MAIL,around the furiously 
91,487,Customer#000000487,"oTc,l9dAf8O0qOOMP4P0WFTuGS",2,12-111-401-4259,9749.37,AUTOMOBILE,as. excuses use carefully carefully pending i,6017,487,F,144069.95,1995-01-31,1-URGENT,Clerk#000000714,0,"lly unusual accounts wake final, regul",6017,1367,68,2,44.00,55807.84,0.05,0.01,A,F,1995-03-20,1995-04-09,1995-04-18,TAKE BACK RETURN,REG AIR,he quickly ironic r
92,487,Customer#000000487,"oTc,l9dAf8O0qOOMP4P0WFTuGS",2,12-111-401-4259,9749.37,AUTOMOBILE,as. excuses use carefully carefully pending i,6017,487,F,144069.95,1995-01-31,1-URGENT,Clerk#000000714,0,"lly unusual accounts wake final, regul",6017,237,38,3,19.00,21607.37,0.06,0.06,R,F,1995-03-18,1995-03-28,1995-04-05,DELIVER IN PERSON,REG AIR,symptotes accordin
93,544,Customer#000000544,"Jv7vcm,oE,HEyxekXKia1V5H1up23",5,15-572-651-1323,4974.68,AUTOMOBILE,bout the packages integrate above the regular instructions. regular ideas hinder s,21379,544,F,190363.45,1995-01-15,2-HIGH,Clerk#000000218,0,x fluffily final deposits. fu,21379,25,76,2,15.00,13875.30,0.03,0.06,A,F,1995-05-16,1995-04-10,1995-05-22,NONE,AIR,nal packages boost fu
94,544,Customer#000000544,"Jv7vcm,oE,HEyxekXKia1V5H1up23",5,15-572-651-1323,4974.68,AUTOMOBILE,bout the packages integrate above the regular instructions. regular ideas hinder s,21379,544,F,190363.45,1995-01-15,2-HIGH,Clerk#000000218,0,x fluffily final deposits. fu,21379,1977,66,3,37.00,69521.89,0.00,0.00,A,F,1995-05-04,1995-02-23,1995-05-08,DELIVER IN PERSON,SHIP, lose above the ca
95,559,Customer#000000559,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",7,17-395-429-6655,5872.94,AUTOMOBILE,al accounts cajole carefully across the accounts. furiously pending pinto beans across the ,43814,559,F,196211.20,1995-01-10,3-MEDIUM,Clerk#000000544,0, haggle regular forges: ironic instructions l,43814,1704,47,2,31.00,49776.70,0.09,0.05,A,F,1995-04-21,1995-04-05,1995-05-07,NONE,AIR,"refully along the express, unusual accou"
96,559,Customer#000000559,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",7,17-395-429-6655,5872.94,AUTOMOBILE,al accounts cajole carefully across the accounts. furiously pending pinto beans across the ,43814,559,F,196211.20,1995-01-10,3-MEDIUM,Clerk#000000544,0, haggle regular forges: ironic instructions l,43814,950,85,3,19.00,35168.05,0.10,0.01,A,F,1995-05-11,1995-02-09,1995-05-24,DELIVER IN PERSON,SHIP,tructions a
97,559,Customer#000000559,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",7,17-395-429-6655,5872.94,AUTOMOBILE,al accounts cajole carefully across the accounts. furiously pending pinto beans across the ,43814,559,F,196211.20,1995-01-10,3-MEDIUM,Clerk#000000544,0, haggle regular forges: ironic instructions l,43814,962,63,4,37.00,68929.52,0.00,0.00,R,F,1995-04-29,1995-03-20,1995-05-24,TAKE BACK RETURN,AIR,gular platelets. even 
98,559,Customer#000000559,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",7,17-395-429-6655,5872.94,AUTOMOBILE,al accounts cajole carefully across the accounts. furiously pending pinto beans across the ,43814,559,F,196211.20,1995-01-10,3-MEDIUM,Clerk#000000544,0, haggle regular forges: ironic instructions l,43814,319,20,7,4.00,4877.24,0.07,0.00,A,F,1995-05-05,1995-03-25,1995-05-09,NONE,MAIL,ng to the slyly unusual 
99,572,Customer#000000572,Nf4Yqb49BqGkzmmtf6,11,21-425-209-5033,7252.65,AUTOMOBILE,leep. pending requests affix blithely. ironic theodol,25441,572,F,30402.99,1995-01-10,5-LOW,Clerk#000000642,0,quickly quickly close requests. slyly iron,25441,939,42,1,17.00,31278.81,0.10,0.08,A,F,1995-03-18,1995-03-08,1995-03-19,COLLECT COD,AIR,ly ironic packages detect regular packag
100,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,1287,88,1,49.00,58225.72,0.08,0.02,R,F,1995-03-18,1995-03-21,1995-04-17,TAKE BACK RETURN,SHIP,ag furiously. fur
101,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,1444,23,2,5.00,6727.20,0.06,0.01,A,F,1995-05-06,1995-05-07,1995-05-14,TAKE BACK RETURN,FOB,ins. final packages sublate never 
102,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,1902,3,3,2.00,3607.80,0.02,0.05,R,F,1995-04-17,1995-04-09,1995-05-10,DELIVER IN PERSON,REG AIR,riously dar
103,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,1712,55,4,50.00,80685.50,0.06,0.03,R,F,1995-04-08,1995-04-25,1995-04-21,TAKE BACK RETURN,AIR,ding to the blithely regula
104,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,850,51,6,48.00,84040.80,0.06,0.00,A,F,1995-03-22,1995-04-06,1995-04-10,DELIVER IN PERSON,TRUCK,t the stea
105,587,Customer#000000587,J2UwoJEQzAOTtuBrxGVag9iWSUPTp,6,16-585-233-5906,7077.79,AUTOMOBILE,ve the final asymptotes. carefully final deposits wake fu,10245,587,F,268471.58,1995-02-14,3-MEDIUM,Clerk#000000785,0, beans. foxes haggle around the car,10245,107,86,7,4.00,4028.40,0.01,0.01,R,F,1995-03-23,1995-03-19,1995-04-02,NONE,SHIP,posits. idly unu
106,613,Customer#000000613,"AJT,26RbanTdEHOBgTWg",4,14-275-416-1669,6679.75,AUTOMOBILE,"ironic, pending deposits: quickl",37507,613,F,122016.97,1994-12-09,1-URGENT,Clerk#000000363,0,usual instructions. permanently ,37507,276,77,1,40.00,47050.80,0.08,0.06,R,F,1995-04-04,1995-02-21,1995-04-29,COLLECT COD,TRUCK,jole slyly according to the p
107,629,Customer#000000629,"LeXGhXX1mFQ0Cq,7taW ruvRHTpG3q,KkW",12,22-260-205-9116,5100.77,AUTOMOBILE,ic attainments. stealthily pending pinto beans affix carefully ironic theodolites. fluffily final deposits sleep da,27430,629,F,92684.00,1995-02-01,2-HIGH,Clerk#000000833,0,sual asymptotes. slyly even dependencie,27430,1388,27,1,2.00,2578.76,0.10,0.03,R,F,1995-04-12,1995-03-05,1995-04-22,DELIVER IN PERSON,REG AIR,yly silent p
108,629,Customer#000000629,"LeXGhXX1mFQ0Cq,7taW ruvRHTpG3q,KkW",12,22-260-205-9116,5100.77,AUTOMOBILE,ic attainments. stealthily pending pinto beans affix carefully ironic theodolites. fluffily final deposits sleep da,27430,629,F,92684.00,1995-02-01,2-HIGH,Clerk#000000833,0,sual asymptotes. slyly even dependencie,27430,1114,51,3,13.00,13196.43,0.00,0.05,A,F,1995-05-20,1995-03-27,1995-05-23,TAKE BACK RETURN,AIR, asymptotes. carefully expre
109,629,Customer#000000629,"LeXGhXX1mFQ0Cq,7taW ruvRHTpG3q,KkW",12,22-260-205-9116,5100.77,AUTOMOBILE,ic attainments. stealthily pending pinto beans affix carefully ironic theodolites. fluffily final deposits sleep da,27430,629,F,92684.00,1995-02-01,2-HIGH,Clerk#000000833,0,sual asymptotes. slyly even dependencie,27430,1672,55,4,7.00,11015.69,0.01,0.05,A,F,1995-03-14,1995-04-23,1995-04-06,DELIVER IN PERSON,REG AIR,ickly regular
110,629,Customer#000000629,"LeXGhXX1mFQ0Cq,7taW ruvRHTpG3q,KkW",12,22-260-205-9116,5100.77,AUTOMOBILE,ic attainments. stealthily pending pinto beans affix carefully ironic theodolites. fluffily final deposits sleep da,27430,629,F,92684.00,1995-02-01,2-HIGH,Clerk#000000833,0,sual asymptotes. slyly even dependencie,27430,741,6,5,16.00,26267.84,0.00,0.02,R,F,1995-03-25,1995-03-10,1995-04-03,TAKE BACK RETURN,TRUCK,fily. slowly special accounts nod quickly 
111,635,Customer#000000635,"Ftqi0UYvzz56Ov,J6,ySp5WE4vJ2rtY",2,12-399-186-7550,8216.79,AUTOMOBILE,efully bold deposits doubt above the clos,4423,635,F,6952.95,1995-02-17,5-LOW,Clerk#000000888,0,excuses are ruthless,4423,1493,11,1,3.00,4183.47,0.03,0.00,A,F,1995-03-22,1995-04-06,1995-04-19,NONE,TRUCK, final theodolites nag after the bli
112,635,Customer#000000635,"Ftqi0UYvzz56Ov,J6,ySp5WE4vJ2rtY",2,12-399-186-7550,8216.79,AUTOMOBILE,efully bold deposits doubt above the clos,7845,635,F,197653.20,1994-12-14,1-URGENT,Clerk#000000671,0,unts cajole furiously. blithely bold platelets cajole. furiously,7845,1428,46,2,1.00,1329.42,0.05,0.06,R,F,1995-04-08,1995-02-15,1995-04-19,TAKE BACK RETURN,REG AIR, the enticingly special 
113,635,Customer#000000635,"Ftqi0UYvzz56Ov,J6,ySp5WE4vJ2rtY",2,12-399-186-7550,8216.79,AUTOMOBILE,efully bold deposits doubt above the clos,7845,635,F,197653.20,1994-12-14,1-URGENT,Clerk#000000671,0,unts cajole furiously. blithely bold platelets cajole. furiously,7845,936,37,3,39.00,71640.27,0.00,0.05,R,F,1995-04-09,1995-03-01,1995-04-28,COLLECT COD,MAIL,d gifts wak
114,635,Customer#000000635,"Ftqi0UYvzz56Ov,J6,ySp5WE4vJ2rtY",2,12-399-186-7550,8216.79,AUTOMOBILE,efully bold deposits doubt above the clos,24934,635,F,11569.89,1995-01-31,2-HIGH,Clerk#000000901,0,uriously ironic accounts wake furiously. furi,24934,991,94,1,6.00,11351.94,0.02,0.04,A,F,1995-03-25,1995-03-27,1995-03-26,TAKE BACK RETURN,RAIL,cial orbits are blithely slyly spec
115,641,Customer#000000641,gbIvFlCygHjj5NG7U,24,34-761-987-7777,339.49,AUTOMOBILE,"uriously final requests boost regular, final ideas. fluffily busy packages promise? requests along the bold, s",31847,641,F,272673.38,1994-12-19,5-LOW,Clerk#000000220,0,usual requests. blithely pending accounts boost slyly after the caref,31847,78,54,1,36.00,35210.52,0.08,0.04,R,F,1995-04-16,1995-02-23,1995-05-13,COLLECT COD,AIR,ccounts about the carefully regular
116,641,Customer#000000641,gbIvFlCygHjj5NG7U,24,34-761-987-7777,339.49,AUTOMOBILE,"uriously final requests boost regular, final ideas. fluffily busy packages promise? requests along the bold, s",31847,641,F,272673.38,1994-12-19,5-LOW,Clerk#000000220,0,usual requests. blithely pending accounts boost slyly after the caref,31847,1478,79,4,8.00,11035.76,0.04,0.05,R,F,1995-03-24,1995-01-22,1995-04-13,COLLECT COD,AIR,ons cajole furiously across the blithely re
117,641,Customer#000000641,gbIvFlCygHjj5NG7U,24,34-761-987-7777,339.49,AUTOMOBILE,"uriously final requests boost regular, final ideas. fluffily busy packages promise? requests along the bold, s",31847,641,F,272673.38,1994-12-19,5-LOW,Clerk#000000220,0,usual requests. blithely pending accounts boost slyly after the caref,31847,1645,28,7,30.00,46399.20,0.04,0.04,A,F,1995-04-04,1995-01-29,1995-05-03,NONE,MAIL,ironic excuses. fluffily ironic acco
118,652,Customer#000000652,"0WlNKsoRqdjU9,5 Qz,bgm5swI,i0Kg",20,30-254-389-5987,-919.65,AUTOMOBILE,p carefully blithely bold platelets. furiously unusual deposits wake. sl,43392,652,F,189647.45,1995-01-01,3-MEDIUM,Clerk#000000056,0,ly express instructions against the blithely ironic packages,43392,682,14,1,7.00,11078.76,0.02,0.02,A,F,1995-03-27,1995-03-29,1995-04-11,TAKE BACK RETURN,AIR,ual frets along the furi
119,652,Customer#000000652,"0WlNKsoRqdjU9,5 Qz,bgm5swI,i0Kg",20,30-254-389-5987,-919.65,AUTOMOBILE,p carefully blithely bold platelets. furiously unusual deposits wake. sl,43392,652,F,189647.45,1995-01-01,3-MEDIUM,Clerk#000000056,0,ly express instructions against the blithely ironic packages,43392,1343,82,2,2.00,2488.68,0.09,0.02,R,F,1995-03-16,1995-03-22,1995-04-04,NONE,TRUCK,ites thrash slyly according to the 
